fastq,expected_md5_checksum,actual_md5_checksum,md5_matches
CRR710848_f1.fq.gz,d84936a7b6719d6785f8dceeaca5284a,d84936a7b6719d6785f8dceeaca5284a,True
CRR710848_r2.fq.gz,dbb5412b4b07eb6ee876f9828f5484af,dbb5412b4b07eb6ee876f9828f5484af,True
CRR710849_f1.fq.gz,dea8584f699026b9d3fffcf082cc2560,dea8584f699026b9d3fffcf082cc2560,True
CRR710849_r2.fq.gz,8c07ab457e9c2fccc9c3834267c767f9,8c07ab457e9c2fccc9c3834267c767f9,True
CRR710850_f1.fq.gz,946f86a975ef894866024aff3b8b17fc,946f86a975ef894866024aff3b8b17fc,True
CRR710850_r2.fq.gz,ba53249da569e27f75c03d94484979f0,ba53249da569e27f75c03d94484979f0,True
CRR710851_f1.fq.gz,9b37f16ebf21f32e5b3fffb6e0dd3189,9b37f16ebf21f32e5b3fffb6e0dd3189,True
CRR710851_r2.fq.gz,7d3b0ef160c053f3c99bd9ce96f3f1c6,7d3b0ef160c053f3c99bd9ce96f3f1c6,True
CRR710852_f1.fq.gz,2b249ceb4aa00b2b4f3986fd6b8c1e8c,2b249ceb4aa00b2b4f3986fd6b8c1e8c,True
CRR710852_r2.fq.gz,3fce9d3c073cd045bf39b3c3e0e20151,3fce9d3c073cd045bf39b3c3e0e20151,True
CRR710853_f1.fq.gz,754811e8e0239ab3f9b79962d594f8d5,754811e8e0239ab3f9b79962d594f8d5,True
CRR710853_r2.fq.gz,3bf17dab19f6f28b0fd4bbba8376f8df,3bf17dab19f6f28b0fd4bbba8376f8df,True
CRR710854_f1.fq.gz,1d7a7693dd7cbb5011947635912c5cbc,1d7a7693dd7cbb5011947635912c5cbc,True
CRR710854_r2.fq.gz,800e7c5357e80750b038696bf463f6d6,800e7c5357e80750b038696bf463f6d6,True
CRR710855_f1.fq.gz,5a3d140d6f37674b9fdde46b88674118,5a3d140d6f37674b9fdde46b88674118,True
CRR710855_r2.fq.gz,804a6f1d3afa8a6f590a083825ce2ff3,804a6f1d3afa8a6f590a083825ce2ff3,True
